"fhidata.municip_code";"fhidata.municip_name";"value";"prior_0"
"municip3048";"Øvre Eiker";0.893560802988869;-1
"municip3049";"Lier";0.951530917577874;1
"municip3050";"Flesberg";0.862063570394648;-1
"municip3051";"Rollag";0.805992141319641;-1
"municip3052";"Nore og Uvdal";0.736877350060151;-1
"municip3053";"Jevnaker";0.877962266088549;-1
"municip3054";"Lunner";0.895243858501708;-1
"municip3401";"Kongsvinger";0.8677535013215;0
"municip3403";"Hamar";0.873467619531881;0
"municip3405";"Lillehammer";0.857655530619205;-1
"municip3407";"Gjøvik";0.843605325298212;-1
"municip3411";"Ringsaker";0.844352122722885;0
"municip3412";"Løten";0.864478164833188;-1
"municip3413";"Stange";0.844746234450372;-1
"municip3414";"Nord-Odal";0.836033231325118;-1
"municip3415";"Sør-Odal";0.867399607891632;-1
"municip3416";"Eidskog";0.884909632846689;-1
"municip3417";"Grue";0.860483109454823;-1
"municip3418";"Åsnes";0.875964005595409;-1
"municip3419";"Våler";0.927489943425864;-1
"municip3420";"Elverum";0.862728344683077;-1
"municip3421";"Trysil";0.884793100584155;-1
"municip3422";"Åmot";0.832106980509136;-1
"municip3423";"Stor-Elvdal";0.740423711020908;-1
"municip3424";"Rendalen";0.725240270946635;-1
"municip3425";"Engerdal";0.872420905254134;-1
"municip3426";"Tolga";0.728022804025493;-1
"municip3427";"Tynset";0.635947300672127;-1
"municip3428";"Alvdal";0.739044275922982;-1
"municip3429";"Folldal";0.731082596676287;-1
"municip3430";"Os";0.688768183585363;-1
"municip3431";"Dovre";0.880665147420575;-1
"municip3432";"Lesja";0.828270610267156;-1
"municip3433";"Skjåk";0.780613107954222;-1
"municip3434";"Lom";0.841806682111997;-1
"municip3435";"Vågå";0.853225521136792;-1
"municip3436";"Nord-Fron";0.925543118419667;-1
"municip3437";"Sel";0.904025741826886;-1
"municip3438";"Sør-Fron";0.932658078314306;-1
"municip3439";"Ringebu";0.841140699787771;-1
"municip3440";"Øyer";0.81287040545942;-1
"municip3441";"Gausdal";0.7916244141647;-1
"municip3442";"Østre-Toten";0.821944569047079;-1
"municip3443";"Vestre-Toten";0.830249842378071;-1
"municip3446";"Gran";0.81911492892483;-1
"municip3447";"Søndre Land";0.802287649481203;-1
"municip3448";"Nordre Land";0.848215594055416;-1
"municip3449";"Sør-Aurdal";0.796795845094065;-1
"municip3450";"Etnedal";0.778688440468349;-1
"municip3451";"Nord-Aurdal";0.718618046115568;-1
"municip3452";"Vestre-Slidre";0.886289971776544;-1
"municip3453";"Øystre-Slidre";0.84587522869548;-1
"municip3454";"Vang";0.811148319487757;-1
"municip3801";"Horten";0.864871701060767;-1
"municip3802";"Holmestrand";0.873258753112747;-1
"municip3803";"Tønsberg";0.90545804074358;-1
"municip3804";"Sandefjord";0.882371848335004;-1
"municip3805";"Larvik";0.825714628413597;0
"municip3806";"Porsgrunn";0.860811750303979;-1
"municip3807";"Skien";0.905666933812231;0
"municip3808";"Notodden";0.736190926665557;-1
